School_Code,County,Public_Private,School_District,City,School_Name,Enrollment,UTD_NUMBER,UTD_PERCENTAGE,PME_NUMBER,PME_PERCENTAGE,PBE_PERCENTAGE,PBE_PERCENTAGE,REPORTED,Grade,YEAR
0117325,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,MILLENNIAL TECH MIDDLE,220,219,100,0,0,1,0,Y,7,2012-2013
6070890,SAN DIEGO,PUBLIC,SWEETWATER UNION HIGH,SAN DIEGO,MONTGOMERY MIDDLE,402,398,99,1,0,3,1,Y,7,2012-2013
6059679,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,MONTGOMERY MIDDLE,136,132,97,0,0,4,3,Y,7,2012-2013
3730751,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,MT. EVEREST ACADEMY,25,22,88,0,0,3,12,Y,7,2012-2013
6115570,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,MUSEUM,26,24,92,0,0,2,8,Y,7,2012-2013
6040513,SAN DIEGO,PUBLIC,SOUTH BAY UNION ELEMENTARY,SAN DIEGO,NESTOR LANGUAGE ACADEMY,60,60,100,0,0,0,0,Y,7,2012-2013
0108332,SAN DIEGO,PUBLIC,POWAY UNIFIED,SAN DIEGO,OAK VALLEY MIDDLE,446,431,97,0,0,15,3,Y,7,2012-2013
6119341,SAN DIEGO,PUBLIC,SAN YSIDRO ELEMENTARY,SAN DIEGO,OCEAN VIEW HILLS,146,143,98,0,0,3,2,Y,7,2012-2013
6061964,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,O'FARRELL COMMUNITY CENTER FOR ADVANCED ACADEMY,251,251,100,0,0,0,0,Y,7,2012-2013
0123778,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,OLD TOWN ACADEMY K-8 CHARTER,28,25,89,0,0,3,11,Y,7,2012-2013
6059695,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,PACIFIC BEACH MIDDLE,205,199,97,1,0,5,2,Y,7,2012-2013
6039929,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,PERKINS ELEMENTARY,59,59,100,0,0,0,0,Y,7,2012-2013
6061972,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,PERSHING MIDDLE,258,256,99,0,0,2,1,Y,7,2012-2013
6040083,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,RILEY/NEW DAWN,18,18,100,0,0,0,0,Y,7,2012-2013
6059703,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,ROOSEVELT INTERNATIONAL MIDDLE,259,257,99,1,0,1,0,Y,7,2012-2013
6119168,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,SAN DIEGO COOPERATIVE CHARTER,55,47,85,0,0,8,15,Y,7,2012-2013
3730371,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,SAN DIEGO SCPA,145,141,97,1,1,3,2,Y,7,2012-2013
6062012,SAN DIEGO,PUBLIC,SWEETWATER UNION HIGH,SAN DIEGO,SOUTHWEST MIDDLE,333,333,100,0,0,0,0,Y,7,2012-2013
6096598,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,STANDLEY MIDDLE,321,314,98,1,0,6,2,Y,7,2012-2013
6059711,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,TAFT MIDDLE,159,151,95,0,0,8,5,Y,7,2012-2013
0118000,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,URBAN DISCOVERY ACADEMY CHARTER,45,44,98,0,0,1,2,Y,7,2012-2013
6097844,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,WANGENHEIM MIDDLE,310,308,99,0,0,2,1,Y,7,2012-2013
6061980,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,WILSON MIDDLE,216,214,99,0,0,2,1,Y,7,2012-2013
0119271,SAN DIEGO,PUBLIC,SBC - HIGH TECH HIGH,SAN MARCOS,HIGH TECH MIDDLE NORTH COUNTY,116,111,96,0,0,5,4,Y,7,2012-2013
0105684,SAN DIEGO,PUBLIC,SAN MARCOS UNIFIED,SAN MARCOS,SAN ELIJO MIDDLE,548,529,97,0,0,19,3,Y,7,2012-2013
6039093,SAN DIEGO,PUBLIC,SAN MARCOS UNIFIED,SAN MARCOS,SAN MARCOS MIDDLE,458,452,99,0,0,6,1,Y,7,2012-2013
6095061,SAN DIEGO,PUBLIC,SAN MARCOS UNIFIED,SAN MARCOS,WOODLAND PARK MIDDLE,426,417,98,0,0,9,2,Y,7,2012-2013
6098453,SAN DIEGO,PUBLIC,SAN YSIDRO ELEMENTARY,SAN YSIDRO,SAN YSIDRO MIDDLE,292,291,100,0,0,1,0,Y,7,2012-2013
0123000,SAN DIEGO,PUBLIC,SAN YSIDRO ELEMENTARY,SAN YSIDRO,WILLOW ELEMENTARY,134,132,99,0,0,2,1,Y,7,2012-2013
6040349,SAN DIEGO,PUBLIC,SANTEE ELEMENTARY,SANTEE,CAJON PARK ELEMENTARY,119,117,98,0,0,2,2,Y,7,2012-2013
